total_count	standalone_site	payment_method	app_cb	day_of_month
1	bnm	over_the_phone	agent	1
10	bnm	stripe	agent	1
9	bnm	bank	site	1
1	bnm	bpay	site	1
1	bnm	over_the_phone	site	1
16	bnm	paypal	site	1
129	bnm	stripe	site	1
1	bnm	NULL	agent	1
57	bnm	NULL	site	1
1	bnm	bpay	agent	2
2	bnm	over_the_phone	agent	2
7	bnm	stripe	agent	2
4	bnm	bank	site	2
1	bnm	bpay	site	2
16	bnm	paypal	site	2
109	bnm	stripe	site	2
52	bnm	NULL	site	2
1	bnm	over_the_phone	agent	3
10	bnm	stripe	agent	3
4	bnm	bank	site	3
6	bnm	bpay	site	3
11	bnm	paypal	site	3
108	bnm	stripe	site	3
2	bnm	NULL	agent	3
54	bnm	NULL	site	3
3	bnm	stripe	agent	4
2	bnm	bpay	site	4
9	bnm	paypal	site	4
43	bnm	stripe	site	4
1	bnm	NULL	agent	4
32	bnm	NULL	site	4
1	bnm	over_the_phone	agent	5
3	bnm	bank	site	5
6	bnm	paypal	site	5
41	bnm	stripe	site	5
41	bnm	NULL	site	5
2	bnm	over_the_phone	agent	6
12	bnm	stripe	agent	6
3	bnm	bank	site	6
3	bnm	bpay	site	6
12	bnm	paypal	site	6
94	bnm	stripe	site	6
2	bnm	NULL	agent	6
59	bnm	NULL	site	6
1	bnm	over_the_phone	agent	7
10	bnm	stripe	agent	7
3	bnm	bank	site	7
4	bnm	bpay	site	7
16	bnm	paypal	site	7
118	bnm	stripe	site	7
74	bnm	NULL	site	7
1	bnm	over_the_phone	agent	8
10	bnm	stripe	agent	8
6	bnm	bpay	site	8
8	bnm	paypal	site	8
118	bnm	stripe	site	8
2	bnm	NULL	agent	8
76	bnm	NULL	site	8
3	bnm	over_the_phone	agent	9
11	bnm	stripe	agent	9
2	bnm	bank	site	9
5	bnm	bpay	site	9
1	bnm	over_the_phone	site	9
10	bnm	paypal	site	9
73	bnm	stripe	site	9
152	bnm	NULL	site	9
1	bnm	over_the_phone	agent	10
9	bnm	stripe	agent	10
2	bnm	bpay	site	10
7	bnm	paypal	site	10
44	bnm	stripe	site	10
2	bnm	NULL	agent	10
72	bnm	NULL	site	10
